ReservationId,CustomerId,FirstName,LastName,RoomType,NumOfPeople,NumOfBeds,ViewType,PricePerDay,TenantId,TenantBizId,TenantId_TenantBizId,BizName,BizLocationId, BizBldNumber,BizStreetName,BizCity,BizState,BizZipCode,StartDate,EndDate,BookedDate,TotalCost
695014960,5,Rosella,Reichert,PremiumKingRoom,2,1,MountainView,120.0,110,101,110_101,HikingHotels,1101,5711,South Colorado Blvd,Denver,CO,80246,24/09/2022,29/09/2022,04/10/2022,600.0
120645731,38,William,Buckridge,StandardRoom,1,1,CityView,75.0,110,101,110_101,HikingHotels,1101,5711,South Colorado Blvd,Denver,CO,80246,21/09/2022,26/09/2022,01/10/2022,375.0
90961218,5,Rosella,Reichert,StandardRoom,1,1,CityView,75.0,120,102,120_102,CasinoHotels,1202,5017,East Second Street,Reno,NV,89521,20/09/2022,25/09/2022,30/09/2022,375.0
970511638,41,Usha,Terry,FamilySuite,6,3,PoolView,205.0,110,102,110_102,HikingHotels,1102,156,149 State Highway,Grand Canyon,CA,86023,05/10/2022,07/10/2022,09/10/2022,410.0
53035453,39,Kymberly,MacGyver,PremiumQueenRoom,2,2,PoolView,105.0,120,102,120_102,CasinoHotels,1202,5017,East Second Street,Reno,NV,89521,26/09/2022,02/10/2022,08/10/2022,630.0
94541033,24,Sina,Braun,StandardRoom,1,1,CityView,75.0,100,105,100_105,GoodFellasHotel,1005,5300,W Century Blvd,Los Angeles,CA,90045,07/10/2022,08/10/2022,09/10/2022,75.0
957092629,47,Leslie,Rippin,LuxorySuite,4,1,CityView,150.0,100,101,100_101,GoodFellasHotel,1001,334,BestFriend Rd,Atlanta,GA,30337,15/10/2022,18/10/2022,21/10/2022,450.0
282755207,48,Thomas,Cassin,StandardRoom,1,1,CityView,75.0,130,101,130_101,FamilyFunHotel,1301,671,Hotel Plaza Blvd,Lake Buena,FL,32830,28/09/2022,03/10/2022,08/10/2022,375.0
386025107,42,Kazuko,Wolff,DeluxeKingRoom,2,1,CityView,95.0,110,103,110_103,HikingHotels,1103,814,E Mall Drive,Rapid City,SD,57701,16/10/2022,20/10/2022,24/10/2022,380.0
554264118,1,Veronica,Casper,FamilySuite,6,3,PoolView,205.0,120,101,120_101,CasinoHotels,1201,711,W Resort World,Los Vegas,NV,89109,16/10/2022,19/10/2022,22/10/2022,615.0
337189207,33,Katy,Tromp,DeluxeKingRoom,2,1,CityView,95.0,130,101,130_101,FamilyFunHotel,1301,671,Hotel Plaza Blvd,Lake Buena,FL,32830,05/10/2022,09/10/2022,13/10/2022,380.0
715167415,6,Miyoko,Skiles,PremiumKingRoom,2,1,MountainView,120.0,130,101,130_101,FamilyFunHotel,1301,671,Hotel Plaza Blvd,Lake Buena,FL,32830,06/10/2022,12/10/2022,18/10/2022,720.0
133742150,1,Veronica,Casper,FamilySuite,6,3,PoolView,205.0,110,102,110_102,HikingHotels,1102,156,149 State Highway,Grand Canyon,CA,86023,16/10/2022,18/10/2022,20/10/2022,410.0
83428435,39,Kymberly,MacGyver,PremiumKingRoom,2,1,MountainView,120.0,100,103,100_103,GoodFellasHotel,1003,204,Powell Street,San Francisco,CA,94102,18/10/2022,23/10/2022,28/10/2022,600.0
6372160,50,Luz,Stiedemann,PremiumQueenRoom,2,2,PoolView,105.0,120,101,120_101,CasinoHotels,1201,711,W Resort World,Los Vegas,NV,89109,03/10/2022,07/10/2022,11/10/2022,420.0
967682363,34,Librada,Brown,AccessibleQueenRoom,1,1,MountainView,85.0,130,101,130_101,FamilyFunHotel,1301,671,Hotel Plaza Blvd,Lake Buena,FL,32830,28/09/2022,04/10/2022,10/10/2022,510.0
194793222,15,Evita,Baumbach,PremiumQueenRoom,2,2,PoolView,105.0,100,102,100_102,GoodFellasHotel,1002,881,43rd Street,New York,NY,10036,20/10/2022,26/10/2022,01/11/2022,630.0
398000129,32,Alvina,Tromp,PremiumQueenRoom,2,2,PoolView,105.0,130,101,130_101,FamilyFunHotel,1301,671,Hotel Plaza Blvd,Lake Buena,FL,32830,24/09/2022,27/09/2022,30/09/2022,315.0
600233538,26,Soledad,Zieme,FamilySuite,6,3,PoolView,205.0,110,102,110_102,HikingHotels,1102,156,149 State Highway,Grand Canyon,CA,86023,04/10/2022,07/10/2022,10/10/2022,615.0
818625983,17,Hunter,Stehr,LuxorySuite,4,1,CityView,150.0,100,105,100_105,GoodFellasHotel,1005,5300,W Century Blvd,Los Angeles,CA,90045,18/10/2022,24/10/2022,30/10/2022,900.0
284244069,30,Shizuko,Jast,DeluxeQueenRoom,2,2,PoolView,80.0,100,104,100_104,GoodFellasHotel,1004,9901,Universal Blvd,Orlando,FL,32819,17/10/2022,21/10/2022,25/10/2022,320.0
444820189,48,Thomas,Cassin,DeluxeKingRoom,2,1,CityView,95.0,100,103,100_103,GoodFellasHotel,1003,204,Powell Street,San Francisco,CA,94102,30/09/2022,05/10/2022,10/10/2022,475.0
934827042,29,Kitty,Block,DeluxeKingRoom,2,1,CityView,95.0,110,102,110_102,HikingHotels,1102,156,149 State Highway,Grand Canyon,CA,86023,11/10/2022,16/10/2022,21/10/2022,475.0
125316666,50,Luz,Stiedemann,StandardRoom,1,1,CityView,75.0,100,101,100_101,GoodFellasHotel,1001,334,BestFriend Rd,Atlanta,GA,30337,25/09/2022,29/09/2022,03/10/2022,300.0
971244360,34,Librada,Brown,AccessibleQueenRoom,1,1,MountainView,85.0,110,101,110_101,HikingHotels,1101,5711,South Colorado Blvd,Denver,CO,80246,22/09/2022,24/09/2022,26/09/2022,170.0
747034654,12,Steven,Thiel,StandardRoom,1,1,CityView,75.0,110,103,110_103,HikingHotels,1103,814,E Mall Drive,Rapid City,SD,57701,27/09/2022,02/10/2022,07/10/2022,375.0
814462777,39,Kymberly,MacGyver,AccessibleQueenRoom,1,1,MountainView,85.0,100,103,100_103,GoodFellasHotel,1003,204,Powell Street,San Francisco,CA,94102,03/10/2022,07/10/2022,11/10/2022,340.0
783923900,21,Gertude,Gerlach,DeluxeKingRoom,2,1,CityView,95.0,100,105,100_105,GoodFellasHotel,1005,5300,W Century Blvd,Los Angeles,CA,90045,22/09/2022,27/09/2022,02/10/2022,475.0
98068197,11,Jeromy,Adams,PremiumQueenRoom,2,2,PoolView,105.0,120,102,120_102,CasinoHotels,1202,5017,East Second Street,Reno,NV,89521,25/09/2022,30/09/2022,05/10/2022,525.0
339150851,39,Kymberly,MacGyver,StandardRoom,1,1,CityView,75.0,100,101,100_101,GoodFellasHotel,1001,334,BestFriend Rd,Atlanta,GA,30337,05/10/2022,07/10/2022,09/10/2022,150.0
998087364,12,Steven,Thiel,DeluxeKingRoom,2,1,CityView,95.0,130,102,130_102,FamilyFunHotel,1302,588,W Convention Way,Anaheim,CA,92802,30/09/2022,02/10/2022,04/10/2022,190.0
38201566,31,Malcom,Cummerata,StandardRoom,1,1,CityView,75.0,110,103,110_103,HikingHotels,1103,814,E Mall Drive,Rapid City,SD,57701,23/09/2022,28/09/2022,03/10/2022,375.0
453152507,38,William,Buckridge,PremiumQueenRoom,2,2,PoolView,105.0,100,105,100_105,GoodFellasHotel,1005,5300,W Century Blvd,Los Angeles,CA,90045,10/10/2022,15/10/2022,20/10/2022,525.0
702022082,12,Steven,Thiel,AccessibleQueenRoom,1,1,MountainView,85.0,120,102,120_102,CasinoHotels,1202,5017,East Second Street,Reno,NV,89521,19/10/2022,22/10/2022,25/10/2022,255.0
57971047,25,Duncan,Hudson,PremiumKingRoom,2,1,MountainView,120.0,120,102,120_102,CasinoHotels,1202,5017,East Second Street,Reno,NV,89521,15/10/2022,20/10/2022,25/10/2022,600.0
371879135,21,Gertude,Gerlach,AccessibleQueenRoom,1,1,MountainView,85.0,120,101,120_101,CasinoHotels,1201,711,W Resort World,Los Vegas,NV,89109,11/10/2022,17/10/2022,23/10/2022,510.0
231746830,30,Shizuko,Jast,DeluxeKingRoom,2,1,CityView,95.0,100,103,100_103,GoodFellasHotel,1003,204,Powell Street,San Francisco,CA,94102,26/09/2022,29/09/2022,02/10/2022,285.0
